text,cleaned text
“A pharmacist asked loudly if I knew my diabetes was caused by bad habits.”,A pharmacist asked loudly if I knew my diabetes was caused by bad habits.
“Even supportive friends crack jokes about sugar every time I order dessert.”,Even supportive friends crack jokes about sugar every time I order dessert.
"“When people ask, where's all the Type 2s, I say, well, they hide. And it's basically, as I said, it's about the shame. It's about the guilt of it. And, you know, you did it because of your lifestyle choices.”","When people ask, wheres all the Type 2s, I say, well, they hide. And its basically, as I said, its about the shame. Its about the guilt of it. And, you know, you did it because of your lifestyle choices."
“The constant question 'But can't you just lose weight?' shows how people misunderstand diabetes.”,The constant question But cant you just lose weight? shows how people misunderstand diabetes.
“Someone told me needles mean I'm a drug addict; I was just testing my sugar.”,Someone told me needles mean Im a drug addict; I was just testing my sugar.
“A flight attendant tried to confiscate my insulin because she thought it was forbidden.”,A flight attendant tried to confiscate my insulin because she thought it was forbidden.
“I skip social events because comments about food get exhausting.”,I skip social events because comments about food get exhausting.
“An employer asked if my diabetes would increase their health insurance costs.”,An employer asked if my diabetes would increase their health insurance costs.
"“When I said I was diabetic, a date said, 'That's a deal‑breaker for me.'”","When I said I was diabetic, a date said, Thats a deal‑breaker for me."
"“A coach benched me, saying my diabetes made me unreliable under pressure.”","A coach benched me, saying my diabetes made me unreliable under pressure."
"“Friends celebrate my 'good sugar' days like a moral victory, shaming the bad ones.”","Friends celebrate my good sugar days like a moral victory, shaming the bad ones."
“The news headline blamed people with diabetes for 'burdening' the healthcare system.”,The news headline blamed people with diabetes for burdening the healthcare system.
“I was advised to hide my pump in photos so I wouldn't look 'sick.'”,I was advised to hide my pump in photos so I wouldnt look sick.
“Strangers give unsolicited advice about cinnamon cures.”,Strangers give unsolicited advice about cinnamon cures.
"“A doctor congratulated me for not being 'too overweight for a diabetic', as if that was praise.”","A doctor congratulated me for not being too overweight for a diabetic, as if that was praise."
“People think testing in public is 'gross' and ask me to leave the table.”,People think testing in public is gross and ask me to leave the table.
“My insurance labelled me high‑risk and raised premiums immediately after diagnosis.”,My insurance labelled me high‑risk and raised premiums immediately after diagnosis.
“Social media comments accuse me of faking lows to eat candy.”,Social media comments accuse me of faking lows to eat candy.
“Family members blame me for bringing diabetes genes into the bloodline.”,Family members blame me for bringing diabetes genes into the bloodline.
“I overheard nurses calling me 'non‑compliant' before they'd met me.”,I overheard nurses calling me non‑compliant before theyd met me.
“People treat pregnancy with diabetes like a reckless choice.”,People treat pregnancy with diabetes like a reckless choice.
“Teachers locked away glucose tablets thinking they were sweets.”,Teachers locked away glucose tablets thinking they were sweets.
“A coworker suggested I should resign if I couldn't 'control' my condition.”,A coworker suggested I should resign if I couldnt control my condition.
“Friends assume I'm okay skipping lunch because 'diabetics shouldn't eat carbs anyway.'”,Friends assume Im okay skipping lunch because diabetics shouldnt eat carbs anyway.
"“Dating profiles warn 'no health issues', making me hide my diabetes.”","Dating profiles warn no health issues, making me hide my diabetes."
“I was told to use the disabled toilet for injections so others wouldn't see.”,I was told to use the disabled toilet for injections so others wouldnt see.
“A fellow patient said I was 'lucky' to have type 1 because at least it's not my fault; the comment stung us both.”,A fellow patient said I was lucky to have type 1 because at least its not my fault; the comment stung us both.
“Family push herbal cures and shame me for relying on medication.”,Family push herbal cures and shame me for relying on medication.
"“Bus driver refused me boarding when I treated a hypo with juice, thinking it was alcohol.”","Bus driver refused me boarding when I treated a hypo with juice, thinking it was alcohol."
“Children teased me calling my glucose monitor a beeper from the 80s.”,Children teased me calling my glucose monitor a beeper from the 80s.
“An online post said diabetics are 'drains on the system' – it went viral.”,An online post said diabetics are drains on the system – it went viral.
"“Coworkers bring sugar‑free cake and announce it’s 'safe' for me, putting me on the spot.”","Coworkers bring sugar‑free cake and announce it’s safe for me, putting me on the spot."
“My license renewal required extra hoops because of assumptions about poor control.”,My license renewal required extra hoops because of assumptions about poor control.
"“A stranger said, 'You don't look diabetic', as if there's a look.”","A stranger said, You dont look diabetic, as if theres a look."
"When I was diagnosed I had to think about what am I eating now, how much exercise am I getting, but there's a genetic component. Was there diabetes in your family? Depending on your ethnicity, there's higher rates of it. Also, it can be tied to stress. It can be tied to socioeconomic factors.","When I was diagnosed I had to think about what am I eating now, how much exercise am I getting, but theres a genetic component. Was there diabetes in your family? Depending on your ethnicity, theres higher rates of it. Also, it can be tied to stress. It can be tied to socioeconomic factors."
Often people think it's someone's fault and it's not.,Often people think its someones fault and its not.
There then grows this stigma around it and people have a lot of shame and blame around it.,There then grows this stigma around it and people have a lot of shame and blame around it.
"People often mean well but I was recently at my Thanksgiving dinner with my family and someone said, 'Oh, we're putting the dessert over here, Laura, because you have diabetes.'","People often mean well but I was recently at my Thanksgiving dinner with my family and someone said, Oh, were putting the dessert over here, Laura, because you have diabetes."
"Type 2 ... that people think, 'Oh, that's because you're overweight' or 'You haven't eaten.'","Type 2 ... that people think, Oh, thats because youre overweight or You havent eaten."
"Type 1 diabetes used to be called juvenile diabetes and I think there is a sense there that, 'But wait a minute, you're an adult. How do you have this? You probably ate too many sugar.'","Type 1 diabetes used to be called juvenile diabetes and I think there is a sense there that, But wait a minute, youre an adult. How do you have this? You probably ate too many sugar."
Seventy per cent of people said they felt shamed and blamed for living with their disease.,Seventy per cent of people said they felt shamed and blamed for living with their disease.
Almost half of them said they felt they've been treated differently because of their disease.,Almost half of them said they felt theyve been treated differently because of their disease.
Almost 60 per cent of people with Type 2 diabetes won't seek support because they've internalized that it's something to do with them.,Almost 60 per cent of people with Type 2 diabetes wont seek support because theyve internalized that its something to do with them.
"It's 24/7, 365. I can't ever take a vacation from my diabetes.","Its 24/7, 365. I cant ever take a vacation from my diabetes."
"It's just this feeling of distress, of living with a chronic condition that has long‑term complications if not managed well and just feeling this emotional burden.","Its just this feeling of distress, of living with a chronic condition that has long‑term complications if not managed well and just feeling this emotional burden."
“I wish people knew about the mental burden of living with type 1 diabetes.”,I wish people knew about the mental burden of living with type 1 diabetes.
"“People assume that you check your blood sugars now and then, and you inject insulin a couple of times a day and apart from that you’re fine.”","People assume that you check your blood sugars now and then, and you inject insulin a couple of times a day and apart from that you’re fine."
"“But type 1 diabetes isn’t like that; it’s 24/7 and I’m constantly checking my blood sugars, assessing whether I can go for a walk or eat something, deciding how much insulin I need now if I’m going to exercise later – it’s relentless.”","But type 1 diabetes isn’t like that; it’s 24/7 and I’m constantly checking my blood sugars, assessing whether I can go for a walk or eat something, deciding how much insulin I need now if I’m going to exercise later – it’s relentless."
"“And because I may be reluctant to make a fuss, people just don’t understand the never‑endingness of it.”","And because I may be reluctant to make a fuss, people just don’t understand the never‑endingness of it."
“I feel like there’s a lot of stigma about how people look when it comes to diabetes.”,I feel like there’s a lot of stigma about how people look when it comes to diabetes.
"“Everyone expects type 1s to be skinny and type 2s to be overweight, and because I didn’t look like anyone’s idea of someone with type 1 I didn’t get the right diagnosis.”","Everyone expects type 1s to be skinny and type 2s to be overweight, and because I didn’t look like anyone’s idea of someone with type 1 I didn’t get the right diagnosis."
“People tend to put you in boxes or label you with things that aren’t true at all.”,People tend to put you in boxes or label you with things that aren’t true at all.
“If you knew how many times I have felt judged for having type 2 diabetes you would understand why I sometimes keep quiet about it.”,If you knew how many times I have felt judged for having type 2 diabetes you would understand why I sometimes keep quiet about it.
"“Comments about what I should have done or should not have eaten make me feel ashamed, even though I know the disease is complex.”","Comments about what I should have done or should not have eaten make me feel ashamed, even though I know the disease is complex."
“When I first applied for a graduate job I didn’t get it and I assumed it was because I ticked the box saying I had diabetes.”,When I first applied for a graduate job I didn’t get it and I assumed it was because I ticked the box saying I had diabetes.
"“That really stuck with me, and now I never tick the box in case someone judges me.”","That really stuck with me, and now I never tick the box in case someone judges me."
“My family make plans around my diabetes without even asking me.”,My family make plans around my diabetes without even asking me.
"“They say things like, ‘We were going to have pasta but we remembered you, so we’re doing grilled chicken instead.’ It feels like I’m a burden.”","They say things like, ‘We were going to have pasta but we remembered you, so we’re doing grilled chicken instead.’ It feels like I’m a burden."
“I didn’t realise how much my sister’s family judged me until they told me I should walk more.”,I didn’t realise how much my sister’s family judged me until they told me I should walk more.
“Friends think I’m making excuses when I treat a hypo; they give me funny looks.”,Friends think I’m making excuses when I treat a hypo; they give me funny looks.
"“My aunt said, ‘Stop crying, you’re only doing it for attention’ when I talked about my diabetes.”","My aunt said, ‘Stop crying, you’re only doing it for attention’ when I talked about my diabetes."
"“After 23 years with diabetes, relatives on my dad’s side still don’t know because of gossip fears.”","After 23 years with diabetes, relatives on my dad’s side still don’t know because of gossip fears."
"“Family roll their eyes when my insulin alarm sounds, as if diabetes is an inconvenience to them.”","Family roll their eyes when my insulin alarm sounds, as if diabetes is an inconvenience to them."
“Nine in ten people with diabetes encounter myths and misconceptions about the disease.”,Nine in ten people with diabetes encounter myths and misconceptions about the disease.
“One in four people experience stigma in the home every week.”,One in four people experience stigma in the home every week.
“One in five say they face stigma at work at least every few weeks.”,One in five say they face stigma at work at least every few weeks.
“They don’t understand it’s life‑saving.”,They don’t understand it’s life‑saving.
“I wish people knew about the mental burden of living with type 1 diabetes. People assume that you check your blood sugars now and then.”,I wish people knew about the mental burden of living with type 1 diabetes. People assume that you check your blood sugars now and then.
“and you inject insulin a couple of times a day and apart from that you’re fine. But type 1 diabetes isn’t like that.”,and you inject insulin a couple of times a day and apart from that you’re fine. But type 1 diabetes isn’t like that.
“I feel like there’s a lot of stigma about how people look when it comes to diabetes. Everyone expects type 1s to be skinny and type 2s to be overweight.”,I feel like there’s a lot of stigma about how people look when it comes to diabetes. Everyone expects type 1s to be skinny and type 2s to be overweight.
“If you knew how many times I have felt judged for having type 2 diabetes you would understand why I sometimes keep quiet about it. Comments about what I should have done or should not have eaten make me feel ashamed.”,If you knew how many times I have felt judged for having type 2 diabetes you would understand why I sometimes keep quiet about it. Comments about what I should have done or should not have eaten make me feel ashamed.
“When I first applied for a graduate job I didn’t get it and I assumed it was because I ticked the box saying I had diabetes. That really stuck with me.”,When I first applied for a graduate job I didn’t get it and I assumed it was because I ticked the box saying I had diabetes. That really stuck with me.
“My family make plans around my diabetes without even asking me. They say things like.”,My family make plans around my diabetes without even asking me. They say things like.
"“Everyone got sweets and popcorn at the party; I got a bag with cut‑up apple, carrots and water. Everyone burst out laughing.”","Everyone got sweets and popcorn at the party; I got a bag with cut‑up apple, carrots and water. Everyone burst out laughing."
“There is this misconception that you must have had an unhealthy lifestyle. You must have brought this on yourself.”,There is this misconception that you must have had an unhealthy lifestyle. You must have brought this on yourself.
“I only talk about it at work when it’s absolutely necessary — I just don’t need people giving me advice or trying to tell me what I should do.”,I only talk about it at work when it’s absolutely necessary — I just don’t need people giving me advice or trying to tell me what I should do.
"“There are cultural, religious and language barriers … I discovered a huge lack of understanding about diabetes in my community.”","There are cultural, religious and language barriers … I discovered a huge lack of understanding about diabetes in my community."
“I can’t just grab my keys and leave the house; I need a bag full of provisions for highs and lows.”,I can’t just grab my keys and leave the house; I need a bag full of provisions for highs and lows.
“One thing that really struck me when I was diagnosed was the stigma and misconceptions surrounding all types of diabetes.”,One thing that really struck me when I was diagnosed was the stigma and misconceptions surrounding all types of diabetes.
"“If you knew the mental and emotional toll that living with diabetes has on us, you wouldn’t think it’s easy or pass judgement on us.”","If you knew the mental and emotional toll that living with diabetes has on us, you wouldn’t think it’s easy or pass judgement on us."
"“We’ve been shielding from my dad’s side of the family. After 23 years, they still don’t know I’m type 1 diabetic.”","We’ve been shielding from my dad’s side of the family. After 23 years, they still don’t know I’m type 1 diabetic."
"“When I applied for and didn’t get my first graduate job, I assumed it was because I said I had diabetes … now I never tick the box in case someone judges me.”","When I applied for and didn’t get my first graduate job, I assumed it was because I said I had diabetes … now I never tick the box in case someone judges me."
"“My family will say, ‘Do you have to do that right now?’ when my insulin alarm goes off.”","My family will say, ‘Do you have to do that right now?’ when my insulin alarm goes off."
“My family make plans around my diabetes without even asking me. They say things like ‘We were going to have pasta but then we remembered you.’”,My family make plans around my diabetes without even asking me. They say things like ‘We were going to have pasta but then we remembered you.’
"“My aunt said, ‘Stop crying, you’re only doing it for attention.’ She thinks that’s what I’m doing with the diabetes too.”","My aunt said, ‘Stop crying, you’re only doing it for attention.’ She thinks that’s what I’m doing with the diabetes too."
“Sometimes I feel like my friends don’t believe me when I’m having a hypo … they give me funny looks.”,Sometimes I feel like my friends don’t believe me when I’m having a hypo … they give me funny looks.
“I didn’t realise how much my sister’s family judged me until they told me I should walk more. I had to leave the table and go upstairs.”,I didn’t realise how much my sister’s family judged me until they told me I should walk more. I had to leave the table and go upstairs.
“Everyone expects type 1s to be skinny and type 2s to be overweight … because I didn’t look like anyone’s idea of someone with type 1 I didn’t get the right diagnosis.”,Everyone expects type 1s to be skinny and type 2s to be overweight … because I didn’t look like anyone’s idea of someone with type 1 I didn’t get the right diagnosis.
“I wish people knew about the mental burden of living with type 1 diabetes … it’s relentless.”,I wish people knew about the mental burden of living with type 1 diabetes … it’s relentless.
"“When I first applied for, and didn’t get my first graduate job, I just assumed it was because I said I had diabetes. That really stuck with me, and now I never tick the box on the form in case someone judges me.”","When I first applied for, and didn’t get my first graduate job, I just assumed it was because I said I had diabetes. That really stuck with me, and now I never tick the box on the form in case someone judges me."
"""Mum’s wish is to ‘cure’ me of my diabetes. She keeps suggesting home remedies like bitter gourd (‘karela’ in Gujerati) to counter the sugar.""",Mum’s wish is to ‘cure’ me of my diabetes. She keeps suggesting home remedies like bitter gourd (‘karela’ in Gujerati) to counter the sugar.
"“My family will say, 'do you have to do that right now', when my insulin alarm goes off. Urm...yes! It’s important!""","My family will say, do you have to do that right now, when my insulin alarm goes off. Urm...yes! It’s important!"
"“My family make plans around my diabetes, without even asking me. They say things like, we were going to have pasta, but then we remembered you, so we’re doing grilled chicken instead.”","My family make plans around my diabetes, without even asking me. They say things like, we were going to have pasta, but then we remembered you, so we’re doing grilled chicken instead."
"“My aunt said, ‘Stop crying, you’re only doing it for attention’. She thinks that’s what I’m doing with the diabetes too, crying for attention.”","My aunt said, ‘Stop crying, you’re only doing it for attention’. She thinks that’s what I’m doing with the diabetes too, crying for attention."
"""If you knew... that sometimes I feel like my friends don’t believe me when I’m having a hypo. They think I’m looking for an excuse to have a chocolate bar. They give me funny looks.“",If you knew... that sometimes I feel like my friends don’t believe me when I’m having a hypo. They think I’m looking for an excuse to have a chocolate bar. They give me funny looks.
"“I didn’t realise how much my sister’s family judged me until they came round, and told me I should walk more. They went off on one I had to leave the table and go upstairs, and I haven’t spoken to them since.”","I didn’t realise how much my sister’s family judged me until they came round, and told me I should walk more. They went off on one I had to leave the table and go upstairs, and I haven’t spoken to them since."
"""Well, when I was diagnosed in 1999, my mother was very conscious and aware of people gossiping and stuff. So she and myself we've been shielding from my dad's side of the family. So we haven't at the moment, to this day, after 23 years of living with diabetes, we haven't officially told relatives and cousins and aunts on my dad's side that I’m Type 1 diabetic and no one knows about my niece having diabetes as well.""","Well, when I was diagnosed in 1999, my mother was very conscious and aware of people gossiping and stuff. So she and myself weve been shielding from my dads side of the family. So we havent at the moment, to this day, after 23 years of living with diabetes, we havent officially told relatives and cousins and aunts on my dads side that I’m Type 1 diabetic and no one knows about my niece having diabetes as well."
"“If you knew...that I can’t just grab my keys and leave the house, I need to be prepared for any high and low and need a bag full of provisions to accommodate."" ","If you knew...that I can’t just grab my keys and leave the house, I need to be prepared for any high and low and need a bag full of provisions to accommodate. "
"f you knew...that I’m very upfront about my diabetes, and always tell new colleagues at work. I don’t let my diabetes dictate my life – I plan and set aside 10 minutes every morning to make sure I have everything I could need for the day, a spare sensor, a couple extra vials of insulin, needles, etc.""","f you knew...that I’m very upfront about my diabetes, and always tell new colleagues at work. I don’t let my diabetes dictate my life – I plan and set aside 10 minutes every morning to make sure I have everything I could need for the day, a spare sensor, a couple extra vials of insulin, needles, etc."
"""In many ways, type 1 diabetes has made me stronger, but at the same time, it has completely beaten me,""","In many ways, type 1 diabetes has made me stronger, but at the same time, it has completely beaten me,"
"""As a relatively open person and an advocate of people speaking honestly about problems, I still struggle to talk about type 1 diabetes, a condition I’ve had for 22 years. I wonder why I still see it as a weakness. In many ways, type 1 diabetes has made me stronger, but at the same time, it has completely beaten me.","As a relatively open person and an advocate of people speaking honestly about problems, I still struggle to talk about type 1 diabetes, a condition I’ve had for 22 years. I wonder why I still see it as a weakness. In many ways, type 1 diabetes has made me stronger, but at the same time, it has completely beaten me."
"""Diabetes can change your mood, sometimes making you behave aggressively or become lethargic and lose concentration. It comes into my life when I least want it, at work, playing sport, during exams, presenting, on the stage, at a party, meeting new people, you name it. Yet the misconception of diabetes is, “it’s that thing where you have to eat loads, right?” Sometimes, I can't find the motivation to explain the intricate complexities of the condition.","Diabetes can change your mood, sometimes making you behave aggressively or become lethargic and lose concentration. It comes into my life when I least want it, at work, playing sport, during exams, presenting, on the stage, at a party, meeting new people, you name it. Yet the misconception of diabetes is, it’s that thing where you have to eat loads, right? Sometimes, I cant find the motivation to explain the intricate complexities of the condition."
"""Other times, I wonder if it's easier to laugh and agree with the silly comment. I feel you have to draw the line sometimes and explain the difficulty of dealing with diabetes otherwise it could take a huge toll.","Other times, I wonder if its easier to laugh and agree with the silly comment. I feel you have to draw the line sometimes and explain the difficulty of dealing with diabetes otherwise it could take a huge toll."
"""It’s ruined relationships I’ve had, and has made me low in mood and ill, but it’s also made me resilient and aware. I’ve had too many ignorant comments to count. Most relate to diet, weight or sugar. I think these get to me most as they are simplifying something so complex. Of course, it’s not malicious; there is just a lack of education around type 1.""","It’s ruined relationships I’ve had, and has made me low in mood and ill, but it’s also made me resilient and aware. I’ve had too many ignorant comments to count. Most relate to diet, weight or sugar. I think these get to me most as they are simplifying something so complex. Of course, it’s not malicious; there is just a lack of education around type 1."
"""I feel most impacted by the way people look at me. I’m 5ft 4 and weigh 58kg, and I can see them looking at me and trying to process that I have type 2 diabetes. That’s quite hurtful. Mentally it really infuriates me because diabetes is serious, whether it’s type 1 or 2. I never wanted this condition, but I’ve got to live with it, and I do find it really difficult to come to terms with other people’s attitudes about diabetes – especially type 2 – as if this is something I brought upon myself.","I feel most impacted by the way people look at me. I’m 5ft 4 and weigh 58kg, and I can see them looking at me and trying to process that I have type 2 diabetes. That’s quite hurtful. Mentally it really infuriates me because diabetes is serious, whether it’s type 1 or 2. I never wanted this condition, but I’ve got to live with it, and I do find it really difficult to come to terms with other people’s attitudes about diabetes – especially type 2 – as if this is something I brought upon myself."
"""The biggest misconception for me is that people assume you’ve caused your diabetes by having an unhealthy lifestyle or not looking after yourself by drinking and eating too much. Why do people think that’s the case or think it’s OK to make that judgement? It certainly wasn’t the case for me – and I’m not alone in that.",The biggest misconception for me is that people assume you’ve caused your diabetes by having an unhealthy lifestyle or not looking after yourself by drinking and eating too much. Why do people think that’s the case or think it’s OK to make that judgement? It certainly wasn’t the case for me – and I’m not alone in that.
"""Even now, I still get people saying in surprise, 'You can’t possibly have type 2 diabetes.' That’s not just friends or family, but also healthcare professionals saying that. So, for me, that is the biggest stigma.""","Even now, I still get people saying in surprise, You can’t possibly have type 2 diabetes. That’s not just friends or family, but also healthcare professionals saying that. So, for me, that is the biggest stigma."
“Diabetes still is looked down upon as social stigma.”,Diabetes still is looked down upon as social stigma.
"“Especially when it comes to relationships, people hesitate to consider someone living with diabetes.”","Especially when it comes to relationships, people hesitate to consider someone living with diabetes."
"“These rejections are common, and I have faced them myself.”","These rejections are common, and I have faced them myself."
"“Having lived with type 2 diabetes for ten years, I am no stranger to stigma.”","Having lived with type 2 diabetes for ten years, I am no stranger to stigma."
“I have heard negative looks and derogatory remarks about what I should have done to prevent diabetes.”,I have heard negative looks and derogatory remarks about what I should have done to prevent diabetes.
"“The constant judgement brings feelings of embarrassment, self‑blame and guilt.”","The constant judgement brings feelings of embarrassment, self‑blame and guilt."
“After my diagnosis my friends told me I couldn’t eat candy.”,After my diagnosis my friends told me I couldn’t eat candy.
"“I started eating sweets in front of them just to prove a point, then gave myself extra insulin later in secret.”","I started eating sweets in front of them just to prove a point, then gave myself extra insulin later in secret."
“The judgement pushed me into dangerous behaviour.”,The judgement pushed me into dangerous behaviour.
"“Diabetes is still looked down upon as social stigma, especially in relationships where people hesitate to consider someone living with diabetes.”","Diabetes is still looked down upon as social stigma, especially in relationships where people hesitate to consider someone living with diabetes."
“In my company management assume a diabetic employee can’t handle stress like ‘normal’ people.”,In my company management assume a diabetic employee can’t handle stress like ‘normal’ people.
"“Living with type 2 diabetes I have faced blatant and subtle judgement, including remarks about what I should have done to prevent it.”","Living with type 2 diabetes I have faced blatant and subtle judgement, including remarks about what I should have done to prevent it."
"“Constant judgement brings embarrassment, self‑blame and psychological distress.”","Constant judgement brings embarrassment, self‑blame and psychological distress."
"“Friends told me I couldn’t eat candy, so I would eat it in front of them to prove a point and then secretly inject more insulin.”","Friends told me I couldn’t eat candy, so I would eat it in front of them to prove a point and then secretly inject more insulin."
“People said I looked overweight and ugly after I gained weight from managing lows; I began to hate seeing myself in the mirror.”,People said I looked overweight and ugly after I gained weight from managing lows; I began to hate seeing myself in the mirror.
“A recruitment medical showed high glucose and I didn’t get the job; that triggered depression and fear about my future.”,A recruitment medical showed high glucose and I didn’t get the job; that triggered depression and fear about my future.
“I was diagnosed during a hiring exam and immediately felt doors close before me.”,I was diagnosed during a hiring exam and immediately felt doors close before me.
“Stigma decreases when people have accurate information about diabetes.”,Stigma decreases when people have accurate information about diabetes.
“Diabetes still is looked down upon as social stigma. Especially when it comes to relationships.”,Diabetes still is looked down upon as social stigma. Especially when it comes to relationships.
“people hesitate to consider someone living with diabetes. These rejections are common.”,people hesitate to consider someone living with diabetes. These rejections are common.
“Having lived with type 2 diabetes for ten years.”,Having lived with type 2 diabetes for ten years.
“I am no stranger to stigma. I have heard negative looks and derogatory remarks about what I should have done to prevent diabetes. The constant judgement brings feelings of embarrassment.”,I am no stranger to stigma. I have heard negative looks and derogatory remarks about what I should have done to prevent diabetes. The constant judgement brings feelings of embarrassment.
“Diabetes is still looked down upon as social stigma.”,Diabetes is still looked down upon as social stigma.
“especially in relationships where people hesitate to consider someone living with diabetes.”,especially in relationships where people hesitate to consider someone living with diabetes.
“Living with type 2 diabetes I have faced blatant and subtle judgement.”,Living with type 2 diabetes I have faced blatant and subtle judgement.
"“Corporate managers assume I can’t handle workloads because I’m diabetic, even though my performance is fine.”","Corporate managers assume I can’t handle workloads because I’m diabetic, even though my performance is fine."
“Stigma led me to ration insulin because I felt unworthy of the cost.”,Stigma led me to ration insulin because I felt unworthy of the cost.
“Schoolmates called me ‘sugar girl’ and mocked my lunch choices.”,Schoolmates called me ‘sugar girl’ and mocked my lunch choices.
"“In my community diabetes is seen as a moral failing, so people hide their diagnosis.”","In my community diabetes is seen as a moral failing, so people hide their diagnosis."
“I was denied a promotion after disclosing my need for glucose testing breaks.”,I was denied a promotion after disclosing my need for glucose testing breaks.
"“Healthcare providers scold me instead of supporting me, making me dread appointments.”","Healthcare providers scold me instead of supporting me, making me dread appointments."
"“After my diagnosis, my friends started telling me I couldn’t eat candies or drink juice … so I would eat it in front of them to prove that I could.”","After my diagnosis, my friends started telling me I couldn’t eat candies or drink juice … so I would eat it in front of them to prove that I could."
"“The feeling of being constantly judged has been quite overwhelming for me, bringing out feelings of embarrassment, self‑blame and psychological distress.”","The feeling of being constantly judged has been quite overwhelming for me, bringing out feelings of embarrassment, self‑blame and psychological distress."
"“I have been subject to both blatant and subtle judgement, including negative looks and derogatory remarks about what I should have done or not done in order to prevent type 2 diabetes.”","I have been subject to both blatant and subtle judgement, including negative looks and derogatory remarks about what I should have done or not done in order to prevent type 2 diabetes."
“The corporate management has this idea that being diabetic I can’t handle workloads and stress like other ‘normal’ people and treat me differently.”,The corporate management has this idea that being diabetic I can’t handle workloads and stress like other ‘normal’ people and treat me differently.
"“Diabetes still is looked down upon as social stigma. Especially when it comes to relationship matters, people hesitate to consider people living with diabetes.”","Diabetes still is looked down upon as social stigma. Especially when it comes to relationship matters, people hesitate to consider people living with diabetes."
“During a casual lunch my athletic brother pulled out metformin.”,During a casual lunch my athletic brother pulled out metformin.
“He had been too embarrassed to tell me he had diabetes.”,He had been too embarrassed to tell me he had diabetes.
"“That day I finally told myself, ‘This isn’t my fault.’”","That day I finally told myself, ‘This isn’t my fault.’"
“He was thin and athletic yet embarrassed to take his tablets.”,He was thin and athletic yet embarrassed to take his tablets.
"“That day I finally told myself, ‘This isn’t my fault.’.”","That day I finally told myself, ‘This isn’t my fault.’."
“He thought diabetes was a failure.”,He thought diabetes was a failure.
“During a casual lunch my athletic brother pulled out metformin. He had been too embarrassed to tell me he had diabetes. That day I finally told myself.”,During a casual lunch my athletic brother pulled out metformin. He had been too embarrassed to tell me he had diabetes. That day I finally told myself.
“He was thin and athletic yet embarrassed to take his tablets. He thought diabetes was a failure.”,He was thin and athletic yet embarrassed to take his tablets. He thought diabetes was a failure.
"“Someone at the gym said I was too healthy‑looking to have diabetes, so I must be lying.”","Someone at the gym said I was too healthy‑looking to have diabetes, so I must be lying."
“A pharmacist asked loudly if I knew diabetes was caused by eating too many sweets.”,A pharmacist asked loudly if I knew diabetes was caused by eating too many sweets.
"“My body doesn’t produce insulin anymore. I have been on insulin for eight years. Is it because I didn’t take it with enough seriousness [when I was diagnosed]? Maybe, maybe not.”","My body doesn’t produce insulin anymore. I have been on insulin for eight years. Is it because I didn’t take it with enough seriousness [when I was diagnosed]? Maybe, maybe not."
"“I also went almost six years without really talking about my diabetes… So much of what was shared tonight, even though it wasn’t my exact story, hit very close to home.""","I also went almost six years without really talking about my diabetes… So much of what was shared tonight, even though it wasn’t my exact story, hit very close to home."
“Insurance paperwork called my condition ‘preventable’ and increased my premium.”,Insurance paperwork called my condition ‘preventable’ and increased my premium.
“Stigma contributes to depression and anxiety in people with diabetes.”,Stigma contributes to depression and anxiety in people with diabetes.
“Fear of blame keeps many from attending diabetes check‑ups.”,Fear of blame keeps many from attending diabetes check‑ups.
